x,y
9.4,259.248
9.46,155.388
10.04,236.75
9.5,157.48
9.25,290.732
9.25,131.118
9.2,140.216
9.25,102.464
10,238.61
11.59,358.632
10.6,124.204
10.89,141.244
10.6,122.464
11.25,266.174
12.68,582.654
12.26,299.392
12.39,114.93
12.67,138.478
13.18,236.782
11.84,146.336
11.46,131.116
11.88,118.27
12.29,205.934
12.04,124.652
12.32,207.536
12.58,118.322
12.15,147.99
11.42,141.716
11.69,112.772
11.34,146.26
11.25,106.78
12,151.368
13.15,234.472
14.01,290.29
14.28,229.32
13.77,183.628
13.77,155.1
14.29,153.376
15.38,295.4
15.46,308.306
16,319.708
16.35,174.862
16,267.762
15.26,164.174
15.78,92.002
18.09,453.306
17.94,435.622
17.45,255.704
16.7,331.302
16.78,251.59
16.35,229.418
17.03,224.576
17.6,407.21
19.5,615.13
18.23,325.492
18.7,231.058
19,292.824
19.33,312.132
18.31,229.212
18.04,201.056
18.07,154.484
18.45,155.852
18.3,136.532
18.19,205.884
17.28,237.526
17.02,41.944
18.27,253.274
18.09,156.434
18.88,253.174
18.55,188.278
18.69,219.036
19.29,236.68
19.81,240.502
19.94,295.164
19.73,190.212
21.35,381.344
20.71,210.848
20.9,144.882
19.92,219.484
19.48,160.992
19.08,399.658
20.38,598.434
19.98,358.428
20.05,289.906
18.85,215.652
19.4,292.774
18.85,202.506
18.91,123.144
18.81,201.096
18.2,373.186
17.8,154.316
17.3,138.602
16.6,178.274
16.16,213.402
16.1,251.752
15.75,214.922
16.72,185.568
16.82,128.478
16.53,97.012
17.18,249.228
17.35,137.406
16.71,150.85
15.15,248.67
15.43,251.652
15.35,203.02
14.66,181.92
15.25,198.198
15.13,169.67
15.38,166.092
15.01,167.322
16.69,334.854
18.07,324.362
18.26,288.064
18.5,234.032
18.5,166.186
18.98,190.568
20.54,340.952
19.81,291.504
19.6,163.466
19.39,118.204
19.6,265.812
19.26,150.79
19.45,107.852
19.09,102.536
18.75,204.588
18.76,132.434
18.88,104.656
18.45,162.366
17.95,112.524
18.49,101.324
18.85,128.736
18.5,145.04
18.28,140.94
17.82,151.512
18.48,181.534
18.85,264.258
19.15,216.378
18.81,330.232
16.87,682.69
15.99,231.81
16.07,183.486
15.55,296.374
15.9,227.288
15.84,169.574
15.25,181.598
14.73,199.808
14.28,145.154
15.09,269.54
14.77,166.142
14.95,190.876
14.7,158.032
15.05,211.898
15.85,267.756
15.77,214.286
15.1,126.392
15.26,150.49
15.05,127.688
16.37,213.582
16.65,220.376
16.45,176.2
16.23,142.184
17.82,249.216
17.98,212.836
18.2,141.074
18.45,122.642
17.72,142.628
17.27,99.086
17.14,169.742
17.13,145.678
17.1,88.926
17.16,99.696
16.88,108.596
16.66,90.028
16.7,114.852
16.4,122.998
16.3,153.468
16.09,119.774
16.42,136.21
16.23,156.966
16.21,97.512
16.39,109.884
16.05,173.252
16.2,103.798
16.07,138.598
17.07,143.722
17.05,114.086
16.87,137.658
16.22,142.568
15.6,178.882
15.4,198.018
15.37,299.306
14.7,270.754
14.7,237.926
14.87,137.242
14.86,159.85
13.59,340.56
12.98,252.704
13.65,95.406
13.8,212.604
13.12,185.654
13.07,437.566
13.16,801.746
13.33,355.16
13.67,392.708
14.33,343.762
14.8,315.84
14.25,213.666
13.48,197.556
13.97,262.794
13.69,240.894
13.59,307.556
13.14,391.916
12.85,246.204
13.27,171.672
13.89,191.632
13.48,144.068
13.07,165.978
12.18,179.234
11.63,163.546
11.94,152.71
12.19,168.59
12.1,131.03
12.19,96.864
11.98,91.45
12.45,202.294
11.97,198.438
12.29,137.784
12.27,148.23
13.55,251.118
13.46,165.082
13.48,209.404
13.1,210.108
12.77,175.382
12.17,229.616
11.53,250.048
10.65,557.902
10.41,709.942
10.45,238.274
10.08,263.932
9.95,266.366
9.63,192.184
10.02,174.774
10.36,189.774
10.68,193.704
11.1,150.658
10.62,201.294
10.65,137.314
10.59,95.992
10.68,101.532
10.12,98.262
9.9,96.474
9.77,127.712
9.65,166.164
9.46,180.29
10.06,244.662
10.71,361.204
10.82,145.91
10.38,212.642
9.94,182.788
10.28,177.89
10,120.656
9.57,110.168
9.49,106.178
9.58,161.15
10.09,386.226
12.3,1255.658
13.5,655.9
14.7,652.242
15.23,752.042
14.83,454.946
14.98,455.004
15.05,301.304
15.1,356.378
14.91,292.318
15.07,298.116
15.59,350.35
15.04,240.874
15.35,208
14.8,197.01
15.06,186.732
15.32,205.308
15.23,190.34
17.49,454.986
17.09,249.68
17.44,500.4
16.18,451.9
15.94,181.754
15.7,157.882
15.73,165.87
15.9,219.022
16.75,213.562
17.51,292.16
18,196.826
17.59,218.092
18.01,215.846
18.8,270.184
18.76,168.014
18.6,153.692
18.5,180.482
18.59,128.324
18.6,86.696
18.97,159.752
17.62,149.684
17.25,210.548
17.12,100.592
16.94,99.034
16.66,125.438
16.69,162.564
16.78,101.986
17.85,257.88
18.19,314.788
17.6,185.874
17.75,157.194
17.35,131.686
17.12,212.002
17.15,182.474
17.78,144.344
17.8,63.234
17.54,94.462
17.38,92.234
16.81,112.048
16.62,87.61
17.66,196.404
18.35,150.906
19.19,212.094
19.3,280.926
19.3,192.446
19.49,159.464
20,261.226
20.39,279.276
19.84,160.606
20.18,446.11
19.49,584.194
18.98,220.386
18.44,201.216
18.75,230.566
19.13,180.934
19.17,234.684
18.77,188.646
18.72,176.308
18.97,161.268
18.85,104.01
18.38,132.86
18.4,95.866
17.86,119.214
18.15,129.868
18.18,106.7
17.85,141.202
17.97,104.864
18.49,148.958
18.6,123.68
18.73,266.978
18.91,159.016
19.6,170.764
19.59,128.524
19.75,138.58
19.9,127.172
19.96,96.904
20,118.242
19.96,156.274
20.17,148.936
